qo_lc[m3/d],qg_lc[m3/d],Date & Time
299.02,23308.64252758559,2018-04-24 07:05:00
346.5,46150.84531815006,2018-04-24 07:06:00
303.24,26714.28271452456,2018-04-24 07:07:00
310.03,32848.0767221006,2018-04-24 07:08:00
330.8,35344.11715603097,2018-04-24 07:09:00
295.89,31803.853488117642,2018-04-24 07:10:00
330.11,37483.82873334516,2018-04-24 07:11:00
319.61,31132.31158526656,2018-04-24 07:12:00
290.62,29051.313257760165,2018-04-24 07:13:00
372.86,36269.23808767696,2018-04-24 07:14:00
365.52,30645.168758415737,2018-04-24 07:15:00
362.4,34647.769846515526,2018-04-24 07:16:00
310.96,29305.602260233085,2018-04-24 07:17:00
372.34,41489.95320765319,2018-04-24 07:18:00
340.34,38039.07240626417,2018-04-24 07:19:00
332.5,27737.363329173862,2018-04-24 07:20:00
321.68,33163.89421275729,2018-04-24 07:21:00
290.27,29239.692577894068,2018-04-24 07:22:00
344.05,35989.366622523885,2018-04-24 07:23:00
349.9,37195.494503973285,2018-04-24 07:24:00
300.15,30295.363061839882,2018-04-24 07:25:00
349.39,31024.21250167341,2018-04-24 07:26:00
297.69,31812.20675825337,2018-04-24 07:27:00
348.85,33545.35061634047,2018-04-24 07:28:00
340.97,34309.47794186555,2018-04-24 07:29:00
360.52,39233.33611375337,2018-04-24 07:30:00
370.99,36297.99600700314,2018-04-24 07:31:00
338.03,31827.758993147705,2018-04-24 07:32:00
371.43,36675.41999050019,2018-04-24 07:33:00
335.05,29771.49998440081,2018-04-24 07:34:00
296.21,30682.176174802968,2018-04-24 07:35:00
352.82,37464.855261669734,2018-04-24 07:36:00
334.19,30317.112739226373,2018-04-24 07:37:00
301.58,32865.620717958845,2018-04-24 07:38:00
362.49,33356.64472415719,2018-04-24 07:39:00
340.71,32460.827030117853,2018-04-24 07:40:00
365.9,35204.77700091905,2018-04-24 07:41:00
353.04,32182.572484881053,2018-04-24 07:42:00
342.91,35616.00605202865,2018-04-24 07:43:00
355.37,37342.11787881979,2018-04-24 07:44:00
325.57,30812.82255072227,2018-04-24 07:45:00
362.54,52039.85676295974,2018-04-24 07:46:00
354.19,29689.58732638199,2018-04-24 07:47:00
349.92,37100.59893733636,2018-04-24 07:48:00
306.75,29576.374648428475,2018-04-24 07:49:00
326.59,34507.49821511591,2018-04-24 07:50:00
380.21,31689.95987265216,2018-04-24 07:51:00
328.9,31556.11136415116,2018-04-24 07:52:00
333.5,35067.78427692647,2018-04-24 07:53:00
306.61,28285.970497823575,2018-04-24 07:54:00
